time,open,high,low,close,volume,real_volume
2022-02-28,1.3309199999999999,1.3431600000000001,1.3309199999999999,1.34196,86037,0
2022-03-01,1.34166,1.34375,1.33023,1.3324099999999999,71702,0
2022-03-02,1.33181,1.3406799999999999,1.32715,1.34045,79722,0
2022-03-03,1.34035,1.34179,1.33176,1.33487,69091,0
2022-03-04,1.3344,1.33523,1.32024,1.32308,79233,0
2022-03-07,1.32214,1.32432,1.31019,1.3103099999999999,102075,0
2022-03-08,1.31032,1.31446,1.3082099999999999,1.30995,98270,0
2022-03-09,1.30992,1.31897,1.30881,1.31866,71113,0
2022-03-10,1.31753,1.31946,1.30814,1.30836,72280,0
2022-03-11,1.30832,1.31249,1.30276,1.30359,73891,0
2022-03-14,1.30386,1.3079100000000001,1.30005,1.30007,65267,0
2022-03-15,1.29996,1.30887,1.29993,1.3042099999999999,73343,0
2022-03-16,1.30393,1.31566,1.30304,1.31474,76637,0
2022-03-17,1.3146200000000001,1.32111,1.30874,1.31493,67609,0
2022-03-18,1.31474,1.31967,1.31107,1.31795,58269,0
2022-03-21,1.31688,1.321,1.31268,1.31677,58415,0
2022-03-22,1.3165499999999999,1.32738,1.31199,1.3262399999999999,70357,0
2022-03-23,1.32614,1.32987,1.3175,1.32053,59116,0
2022-03-24,1.3204500000000001,1.32142,1.3157,1.31869,69877,0
2022-03-25,1.31867,1.32249,1.31592,1.31817,62050,0
2022-03-28,1.31787,1.31842,1.30673,1.30934,72717,0
2022-03-29,1.30892,1.31598,1.30511,1.30937,85911,0
2022-03-30,1.30921,1.31826,1.3082099999999999,1.31352,77063,0
2022-03-31,1.3129,1.31756,1.31056,1.3143,77989,0
2022-04-01,1.31318,1.31516,1.30865,1.31135,63644,0
2022-04-04,1.30926,1.31371,1.3084799999999999,1.31151,55113,0
2022-04-05,1.3112300000000001,1.31667,1.30667,1.3072,55703,0
2022-04-06,1.30692,1.31083,1.30453,1.30684,73982,0
2022-04-07,1.30663,1.31067,1.30518,1.30739,66314,0
2022-04-08,1.30722,1.30824,1.2982,1.3035999999999999,57389,0
2022-04-11,1.3026499999999999,1.30568,1.29891,1.30282,66159,0
2022-04-12,1.30305,1.30538,1.29938,1.30011,72424,0
2022-04-13,1.29992,1.31173,1.29728,1.31161,62901,0
2022-04-14,1.31166,1.31474,1.3033299999999999,1.3079399999999999,63881,0
2022-04-15,1.30656,1.30777,1.30438,1.30569,77619,0
2022-04-18,1.30462,1.30646,1.30048,1.30108,45069,0
2022-04-19,1.30118,1.30408,1.29806,1.29989,70625,0
2022-04-20,1.29955,1.30709,1.29873,1.30679,68461,0
2022-04-21,1.30658,1.30903,1.30222,1.3027,71420,0
2022-04-22,1.30288,1.30353,1.2823,1.28369,74280,0
2022-04-25,1.28289,1.28388,1.26973,1.27414,86850,0
2022-04-26,1.27358,1.27725,1.25711,1.25749,83654,0
2022-04-27,1.25732,1.26019,1.25024,1.25455,76540,0
2022-04-28,1.25383,1.25699,1.24115,1.24536,86905,0
2022-04-29,1.24545,1.26146,1.24475,1.25708,72038,0
2022-05-02,1.25787,1.25973,1.24729,1.24918,67818,0
2022-05-03,1.2488299999999999,1.2567,1.24704,1.2495,72812,0
2022-05-04,1.24972,1.2638,1.24513,1.26355,75765,0
2022-05-05,1.26273,1.26342,1.23252,1.23578,93436,0
2022-05-06,1.2361,1.23804,1.2276,1.23361,109772,0
2022-05-09,1.23483,1.24059,1.2261,1.23294,94642,0
2022-05-10,1.23309,1.23756,1.22918,1.23159,99625,0
2022-05-11,1.23129,1.24,1.22374,1.2247,98275,0
2022-05-12,1.22529,1.22531,1.2165300000000001,1.21948,112615,0
2022-05-13,1.21995,1.2261199999999999,1.21554,1.22606,76250,0
2022-05-16,1.22352,1.23295,1.2217500000000001,1.232,73369,0
2022-05-17,1.2311,1.2499,1.2311,1.24928,82155,0
2022-05-18,1.24854,1.25008,1.23298,1.23418,76131,0
2022-05-19,1.23379,1.25247,1.23333,1.2471,104250,0
2022-05-20,1.24655,1.2499500000000001,1.24375,1.2494,85547,0
2022-05-23,1.24744,1.2601,1.24744,1.2587,75244,0
2022-05-24,1.25865,1.25984,1.24714,1.25346,78704,0
2022-05-25,1.2530999999999999,1.25909,1.24809,1.2576800000000001,81668,0
2022-05-26,1.25681,1.26207,1.25518,1.26081,72352,0
2022-05-27,1.25876,1.26666,1.2585899999999999,1.26316,72683,0
2022-05-30,1.26174,1.2659799999999999,1.26143,1.2650299999999999,57533,0
2022-05-31,1.2652999999999999,1.26553,1.25602,1.2602,91786,0
2022-06-01,1.26029,1.26166,1.24583,1.24836,80926,0
2022-06-02,1.2484,1.25866,1.24694,1.25748,66369,0
2022-06-03,1.25782,1.25897,1.24853,1.24872,67711,0
2022-06-06,1.24935,1.25776,1.24767,1.25297,69268,0
2022-06-07,1.25318,1.25995,1.24303,1.25892,84552,0
2022-06-08,1.25894,1.25976,1.25132,1.25358,87165,0
2022-06-09,1.2538,1.25587,1.2487,1.24956,101614,0
2022-06-10,1.2493,1.25179,1.2301,1.23132,101069,0
2022-06-13,1.23179,1.23214,1.21069,1.21323,124212,0
2022-06-14,1.21356,1.22079,1.19339,1.1997,126913,0
2022-06-15,1.19956,1.22049,1.19871,1.21731,127609,0
2022-06-16,1.21793,1.24068,1.2041,1.23518,140981,0
2022-06-17,1.23544,1.23652,1.21727,1.22155,123808,0
2022-06-20,1.22235,1.22803,1.21989,1.22476,98798,0
2022-06-21,1.22503,1.23239,1.2236,1.22791,102105,0
2022-06-22,1.22708,1.23146,1.21608,1.22621,118600,0
2022-06-23,1.22586,1.22946,1.21698,1.2261,129983,0
2022-06-24,1.2256,1.23206,1.22407,1.22733,108207,0
2022-06-27,1.22712,1.23326,1.22378,1.22664,100747,0
2022-06-28,1.2264599999999999,1.2291400000000001,1.21803,1.21836,104185,0
2022-06-29,1.21838,1.22129,1.21057,1.2121,117395,0
2022-06-30,1.21222,1.21885,1.2092,1.21787,107406,0
2022-07-01,1.21742,1.2178,1.1976,1.20914,103112,0
2022-07-04,1.21064,1.2165,1.20843,1.2101899999999999,77052,0
2022-07-05,1.21081,1.21253,1.18987,1.19552,118880,0
2022-07-06,1.19377,1.19893,1.18758,1.19211,133385,0
2022-07-07,1.19158,1.20297,1.19087,1.20234,117193,0
2022-07-08,1.20219,1.20558,1.19192,1.20317,116834,0
2022-07-11,1.20146,1.20371,1.18666,1.1891,105459,0
2022-07-12,1.18889,1.19158,1.1807400000000001,1.18882,115708,0
2022-07-13,1.18827,1.19675,1.18272,1.18897,120357,0
2022-07-14,1.18891,1.18936,1.176,1.18244,129879,0
2022-07-15,1.1819600000000001,1.1874500000000001,1.18045,1.18678,107418,0
2022-07-18,1.18643,1.20334,1.18604,1.19497,98539,0
2022-07-19,1.19471,1.20454,1.19249,1.19974,87283,0
2022-07-20,1.1987,1.20374,1.19532,1.19788,83617,0
2022-07-21,1.19626,1.20038,1.189,1.19998,94649,0
2022-07-22,1.20026,1.20639,1.19164,1.20051,96194,0
2022-07-25,1.1992,1.20864,1.1960600000000001,1.20461,84242,0
2022-07-26,1.20365,1.20903,1.19639,1.20263,80218,0
2022-07-27,1.20201,1.21863,1.20184,1.21552,84665,0
2022-07-28,1.2151,1.21914,1.21033,1.21774,96025,0
2022-07-29,1.21759,1.22455,1.20631,1.21803,96677,0
2022-08-01,1.2163,1.22932,1.2157,1.22537,82487,0
2022-08-02,1.22462,1.2279,1.21582,1.21619,103296,0
2022-08-03,1.21608,1.22076,1.20998,1.21468,92836,0
2022-08-04,1.21431,1.2217,1.2065299999999999,1.21583,82369,0
2022-08-05,1.21556,1.2169,1.20032,1.2070400000000001,82749,0
2022-08-08,1.20636,1.21378,1.20473,1.20771,68512,0
2022-08-09,1.20697,1.21302,1.20629,1.20749,65538,0
2022-08-10,1.20753,1.22765,1.20645,1.22138,77034,0
2022-08-11,1.22101,1.22492,1.21822,1.22,82092,0
2022-08-12,1.21995,1.22163,1.20998,1.2136,75333,0
2022-08-15,1.21234,1.21481,1.205,1.20539,65348,0
2022-08-16,1.20498,1.21179,1.20076,1.20972,71572,0
2022-08-17,1.20915,1.21423,1.20282,1.20486,88199,0
2022-08-18,1.20418,1.20796,1.19229,1.19318,89094,0
2022-08-19,1.19246,1.19359,1.17921,1.18296,82931,0
2022-08-22,1.18214,1.18367,1.17419,1.17651,76691,0
2022-08-23,1.17636,1.1877900000000001,1.17172,1.18309,91295,0
2022-08-24,1.1831800000000001,1.18378,1.17557,1.17919,84612,0
2022-08-25,1.17929,1.18644,1.17835,1.18349,86783,0
2022-08-26,1.18298,1.1901,1.17334,1.17389,91555,0
2022-08-29,1.17255,1.17441,1.1648399999999999,1.17058,85799,0
2022-08-30,1.17059,1.17605,1.16214,1.1654,106055,0
2022-08-31,1.1653,1.1694,1.15993,1.16226,102637,0
2022-09-01,1.1621299999999999,1.16222,1.14993,1.15441,102897,0
2022-09-02,1.15433,1.15887,1.1496,1.15128,96436,0
2022-09-05,1.14745,1.15219,1.14434,1.15219,77488,0
2022-09-06,1.1514199999999999,1.16095,1.14941,1.15202,115140,0
2022-09-07,1.15183,1.15396,1.14053,1.15364,110009,0
2022-09-08,1.1520299999999999,1.15604,1.14606,1.15025,118399,0
2022-09-09,1.15008,1.16479,1.14972,1.15886,100807,0
2022-09-12,1.16401,1.17105,1.16005,1.16825,93404,0
2022-09-13,1.16811,1.17382,1.14924,1.14924,95948,0
2022-09-14,1.14909,1.15897,1.14798,1.15402,109650,0
2022-09-15,1.15422,1.15494,1.14617,1.1466,85981,0
2022-09-16,1.14617,1.14802,1.13506,1.14228,95563,0
2022-09-19,1.14123,1.14424,1.13552,1.14338,63819,0
2022-09-20,1.14288,1.14608,1.13573,1.13811,85640,0
2022-09-21,1.13769,1.13848,1.12368,1.12663,104410,0
2022-09-22,1.12621,1.13643,1.1212,1.12527,116031,0
2022-09-23,1.12551,1.1274,1.08394,1.08481,112925,0
2022-09-26,1.07965,1.09306,1.03644,1.06855,168789,0
2022-09-27,1.06847,1.08378,1.06548,1.07328,132270,0
2022-09-28,1.07296,1.09165,1.05392,1.08888,147077,0
2022-09-29,1.08797,1.11186,1.07618,1.11161,133007,0
2022-09-30,1.11144,1.12346,1.1025,1.11614,136116,0
2022-10-03,1.11599,1.13346,1.10857,1.13206,112012,0
2022-10-04,1.13229,1.14897,1.12803,1.14753,124854,0
2022-10-05,1.14728,1.14954,1.1227,1.13296,118540,0
2022-10-06,1.1325,1.13835,1.1113,1.11575,130060,0
2022-10-07,1.11589,1.12249,1.10553,1.10929,119112,0
2022-10-10,1.10786,1.11111,1.10196,1.10553,106916,0
2022-10-11,1.1054599999999999,1.11798,1.09523,1.0967,127678,0
2022-10-12,1.09637,1.11336,1.09237,1.10994,131465,0
2022-10-13,1.1096,1.13806,1.10572,1.13209,126109,0
2022-10-14,1.13172,1.13666,1.11516,1.11788,135337,0
2022-10-17,1.12334,1.14397,1.12074,1.13612,121984,0
2022-10-18,1.13509,1.14105,1.12554,1.13197,129827,0
2022-10-19,1.13116,1.1357599999999999,1.11852,1.12171,117609,0
2022-10-20,1.12141,1.13366,1.11712,1.12372,142116,0
2022-10-21,1.1219999999999999,1.13148,1.1061,1.12946,145079,0
2022-10-24,1.13951,1.14085,1.12574,1.12794,141345,0
2022-10-25,1.12774,1.14994,1.12706,1.14688,121694,0
2022-10-26,1.14656,1.16388,1.14303,1.163,133529,0
2022-10-27,1.16071,1.1645,1.15489,1.1561,141125,0
2022-10-28,1.15574,1.16236,1.15039,1.1612,125795,0
2022-10-31,1.15714,1.16133,1.146,1.14657,105674,0
2022-11-01,1.14788,1.15662,1.14371,1.14814,113607,0
2022-11-02,1.14775,1.15645,1.13878,1.13895,124175,0
2022-11-03,1.13891,1.14218,1.11515,1.11574,118138,0
2022-11-04,1.11543,1.13821,1.11467,1.13729,134000,0
2022-11-07,1.13045,1.15416,1.12902,1.1513,115833,0
2022-11-08,1.1513200000000001,1.15993,1.14297,1.15439,105039,0
2022-11-09,1.15361,1.15673,1.13338,1.13575,130176,0
2022-11-10,1.13569,1.17316,1.13499,1.17126,139367,0
2022-11-11,1.17154,1.18545,1.16471,1.1832799999999999,142140,0
