time,open,high,low,close,volume,real_volume
2023-07-23,1.28455,1.29956,1.27628,1.2846600000000001,353532,0
2023-07-30,1.28399,1.28728,1.26204,1.27501,331136,0
2023-08-06,1.2747600000000001,1.28186,1.26657,1.26978,291892,0
2023-08-13,1.26913,1.27874,1.26166,1.27315,327390,0
2023-08-20,1.2727,1.28003,1.25479,1.25773,302749,0
2023-08-27,1.2578,1.27461,1.25627,1.25869,301953,0
2023-09-03,1.2586,1.26428,1.24458,1.24619,267034,0
2023-09-10,1.24923,1.2548,1.23787,1.23833,286241,0
2023-09-17,1.23762,1.24247,1.22305,1.22359,246601,0
2023-09-24,1.22472,1.22717,1.21103,1.22029,273682,0
2023-10-01,1.21791,1.22613,1.20373,1.22376,291620,0
2023-10-08,1.22011,1.23374,1.21227,1.21386,291229,0
2023-10-15,1.21302,1.22195,1.20899,1.21638,314298,0
2023-10-22,1.21502,1.22888,1.20695,1.2116500000000001,292019,0
2023-10-29,1.21269,1.23898,1.20902,1.23792,304647,0
2023-11-05,1.23623,1.24286,1.21873,1.22262,284431,0
2023-11-12,1.2205300000000001,1.2506,1.2205300000000001,1.24622,268733,0
2023-11-19,1.24432,1.26154,1.24395,1.26027,259955,0
2023-11-26,1.2598500000000001,1.2733400000000001,1.25911,1.27119,312528,0
2023-12-03,1.26848,1.27246,1.25024,1.2545899999999999,335349,0
2023-12-10,1.25266,1.27942,1.2500200000000001,1.26702,333800,0
2023-12-17,1.2681499999999999,1.2762,1.26123,1.26972,323166,0
2023-12-24,1.26888,1.28277,1.26845,1.27306,212143,0
2023-12-31,1.2720500000000001,1.27712,1.26108,1.27175,288508,0
2024-01-07,1.2698,1.27858,1.26736,1.27503,361790,0
2024-01-14,1.27252,1.27654,1.25966,1.27013,379826,0
2024-01-21,1.26776,1.2775,1.26494,1.27027,317631,0
2024-01-28,1.2695699999999999,1.2772299999999999,1.26142,1.26333,366324,0
2024-02-04,1.26228,1.26429,1.2518500000000001,1.26306,315388,0
2024-02-11,1.2618800000000001,1.26864,1.25355,1.26004,294423,0
2024-02-18,1.25956,1.27097,1.25793,1.2671299999999999,308546,0
2024-02-25,1.26719,1.26997,1.25999,1.2653400000000001,332695,0
2024-03-03,1.26523,1.28939,1.26436,1.2858100000000001,360147,0
2024-03-10,1.2852700000000001,1.2862,1.27253,1.27348,430273,0
