time,open,high,low,close,volume
2020-01-01,0.70137,0.70195,0.70014,0.70019,0
2020-01-02,0.70019,0.70062,0.69623,0.69646,0
2020-01-03,0.69647,0.69666,0.69299,0.69456,0
2020-01-05,0.69416,0.69556,0.69322,0.69444,0
2020-01-06,0.69448,0.69574,0.6925,0.6927,0
2020-01-07,0.6927,0.6931,0.68496,0.68692,0
2020-01-08,0.68692,0.68851,0.68487,0.68718,0
2020-01-09,0.68718,0.68777,0.685,0.68719,0
2020-01-10,0.68719,0.69109,0.68698,0.68981,0
2020-01-12,0.68967,0.69195,0.68932,0.69128,0
2020-01-13,0.69128,0.69184,0.68848,0.69005,0
2020-01-14,0.69005,0.69094,0.68903,0.68979,0
2020-01-15,0.68978,0.69188,0.68771,0.69056,0
2020-01-16,0.69056,0.69335,0.68834,0.68937,0
2020-01-17,0.68936,0.69108,0.687,0.68708,0
2020-01-19,0.68721,0.68842,0.6872,0.6883,0
2020-01-20,0.68829,0.68882,0.68527,0.68642,0
2020-01-21,0.68641,0.68755,0.68268,0.6838,0
2020-01-22,0.68381,0.68785,0.68317,0.68667,0
2020-01-23,0.68666,0.68768,0.6829,0.68463,0
2020-01-24,0.68463,0.6857,0.68172,0.6819,0
2020-01-26,0.68119,0.68184,0.68007,0.68059,0
2020-01-27,0.68059,0.68066,0.67469,0.67605,0
2020-01-28,0.67605,0.67769,0.67367,0.67731,0
2020-01-29,0.67731,0.67741,0.67309,0.67373,0
2020-01-30,0.67372,0.67395,0.66997,0.67221,0
2020-01-31,0.6722,0.67237,0.66825,0.6685,0
2020-02-02,0.66834,0.67051,0.66832,0.66948,0
2020-02-03,0.66948,0.67245,0.66784,0.67178,0
2020-02-04,0.67178,0.67448,0.67052,0.6737,0
2020-02-05,0.6737,0.67738,0.67344,0.67588,0
2020-02-06,0.67589,0.6761,0.67117,0.67164,0
2020-02-07,0.67165,0.67237,0.66619,0.66707,0
2020-02-09,0.66647,0.67058,0.66647,0.66968,0
2020-02-10,0.6697,0.67102,0.66717,0.67085,0
2020-02-11,0.67084,0.67372,0.66989,0.67266,0
2020-02-12,0.67266,0.67498,0.67065,0.67176,0
2020-02-13,0.67175,0.67449,0.67094,0.67162,0
2020-02-14,0.67163,0.67292,0.67089,0.67105,0
2020-02-16,0.67197,0.67291,0.67144,0.67241,0
2020-02-17,0.67241,0.6733,0.66839,0.66915,0
2020-02-18,0.66916,0.6701,0.66733,0.66949,0
2020-02-19,0.6695,0.67072,0.663,0.66482,0
2020-02-20,0.66482,0.66544,0.65914,0.66034,0
2020-02-21,0.66036,0.66385,0.65855,0.66241,0
2020-02-23,0.65839,0.66192,0.65838,0.66097,0
2020-02-24,0.66097,0.66221,0.65862,0.66128,0
2020-02-25,0.66128,0.66192,0.6586,0.65938,0
2020-02-26,0.65938,0.65954,0.65419,0.65527,0
2020-02-27,0.65527,0.65918,0.65229,0.65237,0
2020-02-28,0.65237,0.65453,0.64335,0.65056,0
2020-03-01,0.64668,0.65462,0.64623,0.65208,0
2020-03-02,0.65206,0.65677,0.65093,0.6549,0
2020-03-03,0.65494,0.66453,0.65395,0.65937,0
2020-03-04,0.65936,0.66291,0.65905,0.66189,0
2020-03-05,0.66189,0.66364,0.65835,0.65996,0
2020-03-06,0.65997,0.6657,0.65935,0.66387,0
2020-03-08,0.66057,0.6625,0.6307,0.65309,0
2020-03-09,0.65307,0.66846,0.65218,0.6566,0
2020-03-10,0.65664,0.65804,0.6462,0.65096,0
2020-03-11,0.65097,0.65393,0.64508,0.64564,0
2020-03-12,0.64564,0.64629,0.62114,0.63041,0
2020-03-13,0.63041,0.63224,0.61224,0.61835,0
2020-03-15,0.61473,0.63027,0.60946,0.61746,0
2020-03-16,0.61746,0.61845,0.60786,0.61198,0
2020-03-17,0.61198,0.61226,0.59585,0.60161,0
2020-03-18,0.6016,0.60283,0.55068,0.55688,0
2020-03-19,0.55688,0.59639,0.55603,0.58521,0
2020-03-20,0.5852,0.5985,0.57458,0.57978,0
2020-03-22,0.58034,0.58244,0.56993,0.57608,0
2020-03-23,0.57609,0.59446,0.5722,0.59117,0
2020-03-24,0.59116,0.60091,0.58643,0.60053,0
2020-03-25,0.60053,0.6073,0.58698,0.59315,0
2020-03-26,0.59313,0.61256,0.59055,0.61022,0
2020-03-27,0.61023,0.61998,0.60222,0.61572,0
2020-03-29,0.61497,0.61835,0.61124,0.61366,0
2020-03-30,0.61367,0.62013,0.60745,0.61738,0
2020-03-31,0.61735,0.62131,0.60812,0.61221,0
2020-04-01,0.61221,0.61848,0.60384,0.6082,0
2020-04-02,0.60821,0.61186,0.60065,0.60663,0
2020-04-03,0.60663,0.6075,0.59797,0.59867,0
2020-04-05,0.6011,0.6049,0.59845,0.60171,0
2020-04-06,0.6017,0.61281,0.60055,0.61125,0
2020-04-07,0.61125,0.62078,0.61065,0.61271,0
2020-04-08,0.61271,0.62498,0.61152,0.62364,0
2020-04-09,0.62364,0.6363,0.61948,0.63376,0
2020-04-10,0.63376,0.63673,0.6335,0.63409,0
2020-04-12,0.63458,0.63574,0.63255,0.63358,0
2020-04-13,0.63356,0.64319,0.6331,0.6427,0
2020-04-14,0.6427,0.64443,0.6374,0.64086,0
2020-04-15,0.64086,0.64099,0.62686,0.62765,0
2020-04-16,0.62765,0.63848,0.62639,0.63565,0
2020-04-17,0.63563,0.63778,0.63139,0.63598,0
2020-04-19,0.63622,0.63665,0.63358,0.63424,0
2020-04-20,0.63424,0.6397,0.62829,0.63036,0
2020-04-21,0.63035,0.63525,0.6253,0.63045,0
2020-04-22,0.63045,0.6351,0.62825,0.62999,0
2020-04-23,0.62999,0.64061,0.62987,0.63585,0
2020-04-24,0.63585,0.63981,0.63368,0.63892,0
2020-04-26,0.63807,0.64383,0.63806,0.64339,0
2020-04-27,0.64339,0.64712,0.64337,0.64427,0
2020-04-28,0.64426,0.65343,0.64359,0.65343,0
2020-04-29,0.65343,0.65592,0.65054,0.65552,0
2020-04-30,0.6555,0.65695,0.64552,0.64651,0
2020-05-01,0.64651,0.64713,0.64097,0.64149,0
2020-05-03,0.6412,0.64125,0.63723,0.64008,0
2020-05-04,0.64008,0.64538,0.63768,0.64476,0
2020-05-05,0.64475,0.64756,0.64165,0.64292,0
2020-05-06,0.6429,0.64525,0.63779,0.64164,0
2020-05-07,0.64163,0.65476,0.64113,0.65331,0
2020-05-08,0.65333,0.65447,0.65046,0.65301,0
2020-05-10,0.65309,0.65611,0.65137,0.65546,0
2020-05-11,0.65545,0.65574,0.64318,0.64563,0
2020-05-12,0.64563,0.6536,0.64505,0.64698,0
2020-05-13,0.64698,0.6524,0.642,0.64359,0
2020-05-14,0.6436,0.64732,0.64031,0.64554,0
2020-05-15,0.64554,0.64725,0.64017,0.64126,0
2020-05-17,0.6419,0.64523,0.64098,0.64413,0
2020-05-18,0.64414,0.65514,0.64246,0.65172,0
2020-05-19,0.65173,0.65847,0.65109,0.65483,0
2020-05-20,0.65483,0.66157,0.65273,0.65594,0
2020-05-21,0.65594,0.6598,0.65321,0.65421,0
2020-05-22,0.65421,0.65444,0.65056,0.65334,0
2020-05-24,0.65315,0.65498,0.65217,0.65337,0
2020-05-25,0.65339,0.6575,0.65194,0.65727,0
2020-05-26,0.65727,0.66749,0.65679,0.66451,0
2020-05-27,0.66452,0.668,0.65672,0.66003,0
2020-05-28,0.66003,0.66671,0.65877,0.66428,0
2020-05-29,0.66431,0.66829,0.66181,0.6665,0
2020-05-31,0.6657,0.6742,0.66479,0.6719,0
2020-06-01,0.67191,0.6813,0.67141,0.67886,0
2020-06-02,0.67884,0.69829,0.67808,0.6941,0
2020-06-03,0.6941,0.6957,0.6856,0.68978,0
2020-06-04,0.6898,0.69871,0.68819,0.6951,0
2020-06-05,0.69511,0.70125,0.69488,0.69668,0
2020-06-07,0.69646,0.70029,0.69645,0.69726,0
2020-06-08,0.69726,0.70424,0.69614,0.69962,0
2020-06-09,0.69961,0.69998,0.6898,0.69706,0
2020-06-10,0.69706,0.70637,0.69296,0.69325,0
2020-06-11,0.69326,0.6962,0.67992,0.68348,0
2020-06-12,0.68347,0.69114,0.68104,0.68638,0
2020-06-14,0.6841,0.68452,0.68068,0.68305,0
2020-06-15,0.6831,0.69762,0.67761,0.69553,0
2020-06-16,0.69553,0.69608,0.68333,0.68656,0
2020-06-17,0.68655,0.69223,0.68369,0.68721,0
2020-06-18,0.68721,0.69019,0.68357,0.68629,0
2020-06-19,0.68629,0.69111,0.68292,0.68336,0
2020-06-21,0.68098,0.68601,0.68097,0.68566,0
2020-06-22,0.68568,0.69347,0.68526,0.69127,0
2020-06-23,0.69123,0.69743,0.68928,0.69401,0
2020-06-24,0.69402,0.69476,0.68501,0.68624,0
2020-06-25,0.68627,0.68949,0.68469,0.68883,0
2020-06-26,0.68882,0.68949,0.68401,0.68641,0
2020-06-28,0.68566,0.68863,0.68452,0.68732,0
2020-06-29,0.68738,0.68905,0.68414,0.6881,0
2020-06-30,0.68811,0.69166,0.68322,0.6897,0
2020-07-01,0.68976,0.69432,0.68766,0.69177,0
2020-07-02,0.69176,0.69519,0.69012,0.69299,0
2020-07-03,0.69298,0.69472,0.69229,0.6934,0
2020-07-05,0.69285,0.69679,0.69282,0.69642,0
2020-07-06,0.69642,0.69972,0.69503,0.69651,0
2020-07-07,0.6965,0.69772,0.69217,0.69421,0
2020-07-08,0.69421,0.69945,0.69269,0.69864,0
2020-07-09,0.69863,0.70007,0.69346,0.69434,0
2020-07-10,0.69433,0.69689,0.69233,0.69479,0
2020-07-12,0.69486,0.69735,0.69396,0.69694,0
2020-07-13,0.69696,0.69927,0.6926,0.69393,0
2020-07-14,0.69394,0.70179,0.69209,0.69915,0
2020-07-15,0.69915,0.70373,0.69824,0.69915,0
2020-07-16,0.69915,0.70124,0.69628,0.6988,0
2020-07-17,0.6988,0.70046,0.69732,0.69936,0
2020-07-19,0.69849,0.70036,0.69725,0.69819,0
2020-07-20,0.69824,0.70345,0.69798,0.70225,0
2020-07-21,0.70224,0.71465,0.70152,0.71378,0
2020-07-22,0.71377,0.71827,0.71114,0.71443,0
2020-07-23,0.71442,0.71615,0.70898,0.70959,0
2020-07-24,0.70958,0.71061,0.70637,0.7104,0
2020-07-26,0.70873,0.71458,0.70864,0.7137,0
2020-07-27,0.71373,0.71765,0.71189,0.71349,0
2020-07-28,0.71349,0.71739,0.71125,0.71669,0
2020-07-29,0.71671,0.71966,0.71569,0.71794,0
2020-07-30,0.71791,0.72237,0.71202,0.72064,0
2020-07-31,0.72064,0.72268,0.71329,0.71418,0
2020-08-02,0.71292,0.71494,0.71178,0.7135,0
2020-08-03,0.71349,0.7146,0.70759,0.71247,0
2020-08-04,0.7125,0.719,0.71149,0.71881,0
2020-08-05,0.71881,0.72409,0.71734,0.71974,0
2020-08-06,0.71972,0.72429,0.71737,0.71989,0
2020-08-07,0.7199,0.72222,0.71443,0.71558,0
2020-08-09,0.71597,0.71721,0.71469,0.71641,0
2020-08-10,0.71641,0.71837,0.71397,0.71797,0
2020-08-11,0.71797,0.71894,0.71108,0.71197,0
2020-08-12,0.71197,0.71875,0.71093,0.71686,0
2020-08-13,0.7169,0.71816,0.71316,0.71434,0
2020-08-14,0.71432,0.71749,0.71369,0.71697,0
2020-08-16,0.71646,0.7196,0.71627,0.71832,0
2020-08-17,0.7183,0.72299,0.71704,0.72186,0
2020-08-18,0.72185,0.72642,0.72148,0.72358,0
2020-08-19,0.72357,0.72753,0.71651,0.71834,0
2020-08-20,0.71834,0.72155,0.71353,0.71981,0
2020-08-21,0.71981,0.72068,0.71391,0.71598,0
2020-08-23,0.71658,0.71777,0.71414,0.7167,0
2020-08-24,0.7167,0.72037,0.71536,0.71725,0
2020-08-25,0.71726,0.72067,0.71498,0.71896,0
2020-08-26,0.71897,0.72502,0.71868,0.72355,0
2020-08-27,0.72353,0.72907,0.72163,0.72882,0
2020-08-28,0.72882,0.73663,0.72843,0.73639,0
2020-08-30,0.73582,0.73807,0.73458,0.7366,0
2020-08-31,0.7366,0.74132,0.73397,0.74041,0
2020-09-01,0.74042,0.74132,0.7336,0.73514,0
2020-09-02,0.73517,0.73658,0.7301,0.73169,0
2020-09-03,0.73172,0.73211,0.7251,0.72703,0
2020-09-04,0.72704,0.72983,0.72218,0.72804,0
2020-09-06,0.7285,0.72978,0.72728,0.7286,0
2020-09-07,0.72859,0.72887,0.72697,0.72767,0
2020-09-08,0.7277,0.73085,0.71918,0.72191,0
2020-09-09,0.7219,0.72876,0.72054,0.72698,0
2020-09-10,0.72698,0.73241,0.72471,0.72748,0
2020-09-11,0.72749,0.73056,0.72583,0.72817,0
2020-09-13,0.72767,0.72887,0.72684,0.72804,0
2020-09-14,0.72804,0.7318,0.7264,0.73171,0
2020-09-15,0.7317,0.73422,0.72877,0.73166,0
2020-09-16,0.7317,0.73448,0.72614,0.72633,0
2020-09-17,0.72631,0.73337,0.72537,0.73224,0
2020-09-18,0.73223,0.73265,0.72821,0.72852,0
2020-09-20,0.72865,0.73186,0.72858,0.73171,0
2020-09-21,0.73172,0.73237,0.71911,0.72227,0
2020-09-22,0.72224,0.72342,0.71256,0.71282,0
2020-09-23,0.7128,0.71361,0.70472,0.70489,0
2020-09-24,0.70486,0.7072,0.70155,0.70587,0
2020-09-25,0.70586,0.70864,0.70052,0.70249,0
2020-09-27,0.70283,0.70598,0.70283,0.70566,0
2020-09-28,0.70566,0.7096,0.70359,0.70832,0
2020-09-29,0.70832,0.71493,0.70738,0.71136,0
2020-09-30,0.71137,0.71831,0.70999,0.71769,0
2020-10-01,0.71768,0.72086,0.71563,0.71587,0
2020-10-02,0.71585,0.71747,0.71304,0.71585,0
2020-10-04,0.71659,0.71913,0.71561,0.71795,0
2020-10-05,0.71794,0.72083,0.71622,0.71896,0
2020-10-06,0.71896,0.71937,0.70952,0.71163,0
2020-10-07,0.71165,0.71511,0.71158,0.71415,0
2020-10-08,0.71413,0.71864,0.71368,0.71804,0
2020-10-09,0.71803,0.72425,0.7172,0.72396,0
2020-10-11,0.72192,0.72335,0.72123,0.72279,0
2020-10-12,0.72282,0.72345,0.71647,0.71749,0
2020-10-13,0.71749,0.72026,0.71497,0.71695,0
2020-10-14,0.71696,0.71902,0.71237,0.71306,0
2020-10-15,0.71305,0.7138,0.70556,0.70764,0
2020-10-16,0.70764,0.7096,0.70702,0.70763,0
2020-10-18,0.70786,0.7108,0.707,0.70856,0
2020-10-19,0.70857,0.71143,0.70377,0.70477,0
2020-10-20,0.70477,0.70824,0.70204,0.70787,0
2020-10-21,0.70787,0.71364,0.70693,0.70899,0
2020-10-22,0.709,0.71389,0.70847,0.71132,0
2020-10-23,0.71131,0.71577,0.71007,0.71349,0
2020-10-25,0.71328,0.71415,0.71118,0.71149,0
2020-10-26,0.7115,0.7146,0.71024,0.71328,0
2020-10-27,0.7133,0.71466,0.71127,0.71433,0
2020-10-28,0.71434,0.71569,0.70378,0.70608,0
2020-10-29,0.7061,0.70756,0.7002,0.70428,0
2020-10-30,0.70428,0.70718,0.70111,0.7026,0
2020-11-01,0.70237,0.70249,0.69951,0.69995,0
2020-11-02,0.69994,0.70624,0.69904,0.70286,0
2020-11-03,0.70286,0.72216,0.70275,0.71047,0
2020-11-04,0.71045,0.71984,0.70589,0.71643,0
2020-11-05,0.71642,0.72889,0.71581,0.72601,0
2020-11-06,0.72601,0.7287,0.72386,0.72558,0
2020-11-08,0.72782,0.72976,0.72676,0.72905,0
2020-11-09,0.72906,0.73396,0.72663,0.72806,0
2020-11-10,0.72806,0.73178,0.72522,0.73077,0
2020-11-11,0.73078,0.73142,0.72597,0.72683,0
2020-11-12,0.72685,0.72819,0.72211,0.72286,0
2020-11-13,0.72286,0.72728,0.72272,0.72663,0
2020-11-15,0.72652,0.72977,0.72632,0.72894,0
2020-11-16,0.72894,0.73294,0.72802,0.73208,0
2020-11-17,0.73213,0.73394,0.72714,0.7294,0
2020-11-18,0.72942,0.73303,0.72835,0.72942,0
2020-11-19,0.72944,0.72969,0.7254,0.72937,0
2020-11-20,0.72937,0.73236,0.72809,0.73004,0
