time,open,high,low,close,volume
2020-01-06,0.70137,0.70195,0.6925,0.6927,0
2020-01-13,0.6927,0.6931,0.68487,0.69005,0
2020-01-20,0.69005,0.69335,0.68527,0.68642,0
2020-01-27,0.68641,0.68785,0.67469,0.67605,0
2020-02-03,0.67605,0.67769,0.66784,0.67178,0
2020-02-10,0.67178,0.67738,0.66619,0.67085,0
2020-02-17,0.67084,0.67498,0.66839,0.66915,0
2020-02-24,0.66916,0.67072,0.65838,0.66128,0
2020-03-02,0.66128,0.66192,0.64335,0.6549,0
2020-03-09,0.65494,0.66846,0.6307,0.6566,0
2020-03-16,0.65664,0.65804,0.60786,0.61198,0
2020-03-23,0.61198,0.61226,0.55068,0.59117,0
2020-03-30,0.59116,0.62013,0.58643,0.61738,0
2020-04-06,0.61735,0.62131,0.59797,0.61125,0
2020-04-13,0.61125,0.64319,0.61065,0.6427,0
2020-04-20,0.6427,0.64443,0.62639,0.63036,0
2020-04-27,0.63035,0.64712,0.6253,0.64427,0
2020-05-04,0.64426,0.65695,0.63723,0.64476,0
2020-05-11,0.64475,0.65611,0.63779,0.64563,0
2020-05-18,0.64563,0.65514,0.64017,0.65172,0
2020-05-25,0.65173,0.66157,0.65056,0.65727,0
2020-06-01,0.65727,0.6813,0.65672,0.67886,0
2020-06-08,0.67884,0.70424,0.67808,0.69962,0
2020-06-15,0.69961,0.70637,0.67761,0.69553,0
2020-06-22,0.69553,0.69608,0.68097,0.69127,0
2020-06-29,0.69123,0.69743,0.68401,0.6881,0
2020-07-06,0.68811,0.69972,0.68322,0.69651,0
2020-07-13,0.6965,0.70007,0.69217,0.69393,0
2020-07-20,0.69394,0.70373,0.69209,0.70225,0
2020-07-27,0.70224,0.71827,0.70152,0.71349,0
2020-08-03,0.71349,0.72268,0.70759,0.71247,0
2020-08-10,0.7125,0.72429,0.71149,0.71797,0
2020-08-17,0.71797,0.72299,0.71093,0.72186,0
2020-08-24,0.72185,0.72753,0.71353,0.71725,0
2020-08-31,0.71726,0.74132,0.71498,0.74041,0
2020-09-07,0.74042,0.74132,0.72218,0.72767,0
2020-09-14,0.7277,0.73241,0.71918,0.73171,0
2020-09-21,0.7317,0.73448,0.71911,0.72227,0
2020-09-28,0.72224,0.72342,0.70052,0.70832,0
2020-10-05,0.70832,0.72086,0.70738,0.71896,0
2020-10-12,0.71896,0.72425,0.70952,0.71749,0
2020-10-19,0.71749,0.72026,0.70377,0.70477,0
2020-10-26,0.70477,0.71577,0.70204,0.71328,0
2020-11-02,0.7133,0.71569,0.69904,0.70286,0
2020-11-09,0.70286,0.73396,0.70275,0.72806,0
2020-11-16,0.72806,0.73294,0.72211,0.73208,0
2020-11-23,0.73213,0.73394,0.7254,0.7316,0
2020-11-30,0.7316,0.7407,0.73107,0.73676,0
2020-12-07,0.73678,0.74532,0.73413,0.74243,0
2020-12-14,0.74243,0.75777,0.73989,0.75088,0
2020-12-21,0.7509,0.76393,0.74617,0.7556,0
2020-12-28,0.75561,0.76221,0.75165,0.75938,0
2021-01-04,0.75939,0.77418,0.75908,0.76978,0
2021-01-11,0.76976,0.78198,0.76658,0.76914,0
2021-01-18,0.76914,0.78051,0.76585,0.77166,0
2021-01-25,0.7717,0.7782,0.76824,0.7688,0
2021-02-01,0.7688,0.77635,0.75915,0.76221,0
2021-02-08,0.76219,0.77311,0.75634,0.77255,0
2021-02-15,0.77255,0.78049,0.77059,0.7795,0
2021-02-22,0.77951,0.79344,0.7724,0.79222,0
2021-03-01,0.7922,0.80068,0.76918,0.77541,0
2021-03-08,0.77541,0.78379,0.76211,0.76604,0
2021-03-15,0.76604,0.78003,0.76433,0.77517,0
2021-03-22,0.77516,0.78489,0.76981,0.76997,0
2021-03-29,0.76997,0.77013,0.75627,0.76561,0
2021-04-05,0.76561,0.76604,0.75315,0.76327,0
2021-04-12,0.76329,0.76765,0.75876,0.75989,0
2021-04-19,0.75988,0.78005,0.75846,0.78004,0
2021-04-26,0.77999,0.78155,0.76902,0.77836,0
2021-05-03,0.77837,0.78175,0.76955,0.77406,0
2021-05-10,0.77406,0.78905,0.76747,0.78323,0
2021-05-17,0.78322,0.78563,0.76879,0.77955,0
2021-05-24,0.77956,0.78132,0.77056,0.77571,0
2021-05-31,0.77567,0.77955,0.76769,0.77631,0
2021-06-07,0.7763,0.77728,0.7645,0.77463,0
2021-06-14,0.77462,0.77753,0.76879,0.77061,0
2021-06-21,0.77061,0.77156,0.74761,0.75153,0
2021-06-28,0.75153,0.76162,0.74936,0.75547,0
2021-07-05,0.75548,0.75687,0.74441,0.75673,0
2021-07-12,0.75674,0.75985,0.74093,0.74943,0
2021-07-19,0.74947,0.74958,0.73213,0.73233,0
2021-07-26,0.73235,0.7399,0.7289,0.73809,0
2021-08-02,0.73811,0.74131,0.73164,0.73663,0
2021-08-09,0.73665,0.74263,0.73155,0.7323,0
2021-08-16,0.7323,0.73888,0.73024,0.73078,0
2021-08-23,0.73075,0.73134,0.71056,0.72166,0
2021-08-30,0.72166,0.73181,0.72147,0.73067,0
2021-09-06,0.73067,0.74775,0.73024,0.74391,0
2021-09-13,0.74394,0.7468,0.73356,0.7352,0
2021-09-20,0.73523,0.73687,0.72196,0.72678,0
2021-09-27,0.72676,0.73161,0.72212,0.72974,0
2021-10-04,0.72973,0.73106,0.717,0.72668,0
2021-10-11,0.72668,0.73725,0.72254,0.73366,0
2021-10-18,0.73367,0.74512,0.7323,0.74475,0
2021-10-25,0.74475,0.7546,0.74469,0.75134,0
2021-11-01,0.75135,0.7555,0.74793,0.74953,0
2021-11-08,0.74956,0.75015,0.73595,0.74084,0
2021-11-15,0.74084,0.74312,0.72761,0.73536,0
2021-11-22,0.73535,0.73581,0.72161,0.72208,0
2021-11-29,0.72207,0.72319,0.71106,0.71422,0
2021-12-06,0.71422,0.71727,0.69926,0.70706,0
2021-12-13,0.70707,0.71864,0.70688,0.71031,0
2021-12-20,0.7103,0.72233,0.70817,0.71117,0
2021-12-27,0.71118,0.72513,0.71086,0.72391,0
2022-01-03,0.72389,0.7277,0.71837,0.72103,0
2022-01-10,0.72105,0.72719,0.71293,0.71859,0
2022-01-17,0.71858,0.73138,0.71544,0.71941,0
2022-01-24,0.7194,0.7276,0.70901,0.71318,0
2022-01-31,0.71319,0.71809,0.69669,0.70652,0
2022-02-07,0.70653,0.71678,0.70512,0.71201,0
2022-02-14,0.71199,0.72483,0.70857,0.7126,0
2022-02-21,0.71258,0.72275,0.71012,0.71999,0
2022-02-28,0.71999,0.72835,0.70942,0.72596,0
2022-03-07,0.72594,0.74408,0.72376,0.73097,0
2022-03-14,0.73095,0.73671,0.71647,0.71847,0
2022-03-21,0.71846,0.74243,0.71692,0.73909,0
2022-03-28,0.7391,0.75395,0.73785,0.74819,0
2022-04-04,0.74822,0.75559,0.74555,0.75383,0
2022-04-11,0.75382,0.76607,0.73992,0.74233,0
2022-04-18,0.74231,0.74929,0.73423,0.73654,0
2022-04-25,0.73657,0.74577,0.71346,0.72157,0
2022-05-02,0.72158,0.72282,0.70294,0.70908,0
2022-05-09,0.70907,0.72657,0.69102,0.69692,0
2022-05-16,0.69692,0.70532,0.68284,0.69951,0
2022-05-23,0.69953,0.71265,0.69491,0.70872,0
2022-05-30,0.70879,0.7203,0.70351,0.71869,0
2022-06-06,0.71866,0.72826,0.71403,0.7175,0
2022-06-13,0.71747,0.72461,0.69107,0.69557,0
2022-06-20,0.69557,0.70685,0.685,0.69771,0
2022-06-27,0.69772,0.69933,0.68687,0.6929,0
2022-07-04,0.6929,0.69641,0.67634,0.68751,0
2022-07-11,0.68749,0.68853,0.67141,0.67318,0
2022-07-18,0.67314,0.6854,0.6681,0.68374,0
2022-07-25,0.68372,0.69826,0.68346,0.69599,0
2022-08-01,0.69601,0.70466,0.69105,0.70157,0
2022-08-08,0.70156,0.70201,0.68689,0.69884,0
2022-08-15,0.69884,0.71363,0.69461,0.70219,0
2022-08-22,0.7022,0.70395,0.68585,0.68976,0
2022-08-29,0.68978,0.70084,0.68403,0.68859,0
2022-09-05,0.68859,0.69556,0.67706,0.67985,0
2022-09-12,0.67985,0.68991,0.66985,0.68686,0
2022-09-19,0.68686,0.69155,0.66694,0.67303,0
2022-09-26,0.67301,0.67322,0.64371,0.64801,0
2022-10-03,0.64801,0.65303,0.63626,0.64896,0
2022-10-10,0.64896,0.6547,0.62593,0.62623,0
2022-10-17,0.62622,0.63465,0.61695,0.63073,0
2022-10-24,0.63073,0.64104,0.62096,0.63332,0
2022-10-31,0.63332,0.65214,0.6303,0.64221,0
2022-11-07,0.6422,0.64916,0.62716,0.64634,0
2022-11-14,0.64633,0.67231,0.6386,0.66948,0
2022-11-21,0.66948,0.67969,0.6584,0.66226,0
2022-11-28,0.66228,0.67804,0.66037,0.67049,0
2022-12-05,0.67048,0.68504,0.66696,0.67272,0
2022-12-12,0.67271,0.6813,0.66682,0.67545,0
2022-12-19,0.67544,0.68927,0.66437,0.66582,0
2022-12-26,0.66582,0.6767,0.66286,0.67439,0
2023-01-02,0.67439,0.6834,0.671,0.68263,0
2023-01-09,0.68265,0.69494,0.66874,0.69034,0
2023-01-16,0.69034,0.70187,0.68591,0.69724,0
2023-01-23,0.69725,0.70631,0.68713,0.70314,0
