time,open,high,low,close,volume,real_volume
2022-02-28,1.11255,1.12466,1.11247,1.12191,99898,0
2022-03-01,1.12182,1.12332,1.10897,1.11236,83611,0
2022-03-02,1.1123,1.1143399999999999,1.10575,1.11197,92037,0
2022-03-03,1.11179,1.11217,1.10338,1.10659,72035,0
2022-03-04,1.10662,1.10679,1.08854,1.09334,89192,0
2022-03-07,1.09274,1.09323,1.08061,1.0854300000000001,120245,0
2022-03-08,1.0854,1.09583,1.08481,1.08964,113166,0
2022-03-09,1.08973,1.10952,1.08901,1.10754,85122,0
2022-03-10,1.10752,1.11214,1.09763,1.09888,92000,0
2022-03-11,1.09814,1.10436,1.0902,1.09123,83902,0
2022-03-14,1.09216,1.0994,1.09008,1.09403,77710,0
2022-03-15,1.09406,1.1019700000000001,1.09261,1.09542,84575,0
2022-03-16,1.09536,1.10467,1.0948,1.10345,91053,0
2022-03-17,1.10348,1.11376,1.10079,1.10911,68083,0
2022-03-18,1.10906,1.11185,1.10032,1.10507,66772,0
2022-03-21,1.10562,1.10701,1.10103,1.10168,60220,0
2022-03-22,1.10161,1.10458,1.0961,1.10245,69235,0
2022-03-23,1.10233,1.1044100000000001,1.0964,1.10057,59749,0
2022-03-24,1.10029,1.1014,1.0966,1.0997,63684,0
2022-03-25,1.09964,1.10378,1.0981,1.09834,65437,0
2022-03-28,1.09849,1.09996,1.09448,1.09864,77140,0
2022-03-29,1.09804,1.11371,1.09697,1.10862,91498,0
2022-03-30,1.10864,1.11711,1.10806,1.1158,84389,0
2022-03-31,1.11576,1.11849,1.1061,1.10662,79090,0
2022-04-01,1.10669,1.10764,1.10281,1.10488,66841,0
2022-04-04,1.10321,1.10545,1.09608,1.09722,52896,0
2022-04-05,1.09716,1.09887,1.09,1.09057,57091,0
2022-04-06,1.09047,1.0937999999999999,1.08746,1.08964,70565,0
2022-04-07,1.08927,1.09385,1.0865,1.08801,67239,0
2022-04-08,1.08764,1.08918,1.08365,1.08765,58440,0
2022-04-11,1.092,1.09333,1.08728,1.08835,60582,0
2022-04-12,1.08832,1.09037,1.08214,1.0826,71737,0
2022-04-13,1.08276,1.08943,1.08089,1.08917,62443,0
2022-04-14,1.08763,1.09232,1.07576,1.08293,75731,0
2022-04-15,1.08278,1.08302,1.07965,1.0809,37779,0
2022-04-18,1.08019,1.08217,1.077,1.07809,44474,0
2022-04-19,1.07823,1.08146,1.07613,1.0789,63297,0
2022-04-20,1.07874,1.0867,1.0783,1.0854300000000001,74475,0
2022-04-21,1.0847,1.09363,1.08237,1.08321,74294,0
2022-04-22,1.0836999999999999,1.08516,1.07708,1.07969,74335,0
2022-04-25,1.08078,1.08138,1.06968,1.07117,91677,0
2022-04-26,1.07126,1.07387,1.06359,1.06373,76212,0
2022-04-27,1.06376,1.06548,1.05146,1.05586,85237,0
2022-04-28,1.05538,1.05648,1.04714,1.04983,97415,0
2022-04-29,1.04977,1.05929,1.04912,1.05427,82571,0
2022-05-02,1.05564,1.05684,1.04903,1.05074,70307,0
2022-05-03,1.05024,1.05777,1.04923,1.05193,69449,0
2022-05-04,1.05194,1.06311,1.0506199999999999,1.06193,77867,0
2022-05-05,1.06199,1.0642,1.04928,1.05392,97205,0
2022-05-06,1.05394,1.0599,1.04828,1.05446,111507,0
2022-05-09,1.05405,1.05926,1.04952,1.05582,91214,0
2022-05-10,1.05582,1.05855,1.05255,1.05299,95552,0
2022-05-11,1.05266,1.05772,1.0502,1.05138,94809,0
2022-05-12,1.05132,1.05294,1.03542,1.03795,102129,0
2022-05-13,1.03794,1.04198,1.03495,1.04074,77620,0
2022-05-16,1.04078,1.04432,1.03891,1.04342,63446,0
2022-05-17,1.04347,1.05557,1.04286,1.05505,78494,0
2022-05-18,1.05486,1.05639,1.04604,1.04608,70913,0
2022-05-19,1.04636,1.06072,1.0461,1.05834,97976,0
2022-05-20,1.05836,1.05989,1.05329,1.05621,74622,0
2022-05-23,1.05606,1.06974,1.05571,1.06921,71492,0
2022-05-24,1.06898,1.07486,1.06609,1.07359,75235,0
2022-05-25,1.07366,1.07391,1.06423,1.06786,76501,0
2022-05-26,1.06808,1.0731600000000001,1.06625,1.07292,66718,0
2022-05-27,1.07224,1.0765,1.0697,1.07312,65510,0
2022-05-30,1.07332,1.0787,1.07251,1.07798,49220,0
2022-05-31,1.07788,1.07794,1.06791,1.07324,84835,0
2022-06-01,1.07354,1.07394,1.06274,1.06527,73925,0
2022-06-02,1.06453,1.07502,1.06447,1.07462,64371,0
2022-06-03,1.07461,1.07642,1.07043,1.07188,60060,0
2022-06-06,1.07168,1.0752,1.0684,1.06958,59433,0
2022-06-07,1.06956,1.07144,1.06521,1.07049,73340,0
2022-06-08,1.07052,1.07485,1.06715,1.07163,70080,0
2022-06-09,1.07164,1.0774,1.06113,1.0618,82691,0
2022-06-10,1.06166,1.06423,1.05059,1.0519,88645,0
2022-06-13,1.05152,1.0520100000000001,1.03999,1.0408,105177,0
2022-06-14,1.0407,1.04848,1.0397,1.04175,104731,0
2022-06-15,1.04155,1.05078,1.0359,1.04472,124998,0
2022-06-16,1.04422,1.06014,1.03809,1.05505,124776,0
2022-06-17,1.05488,1.05601,1.04444,1.04953,111793,0
2022-06-20,1.04771,1.0546,1.04748,1.05109,71406,0
2022-06-21,1.05098,1.05827,1.05071,1.05347,76026,0
2022-06-22,1.0533,1.06056,1.0469,1.05688,93110,0
2022-06-23,1.0566,1.0581,1.04828,1.05211,106561,0
2022-06-24,1.05234,1.05713,1.05121,1.05554,79697,0
2022-06-27,1.05489,1.06149,1.05489,1.05819,80714,0
2022-06-28,1.05846,1.06062,1.05036,1.05207,85658,0
2022-06-29,1.05188,1.05355,1.04352,1.04413,89544,0
2022-06-30,1.04403,1.04885,1.03827,1.04835,91530,0
2022-07-01,1.04839,1.0485,1.03655,1.04246,92486,0
2022-07-04,1.04193,1.04628,1.04168,1.04227,58145,0
2022-07-05,1.04202,1.0449,1.02352,1.02641,90261,0
2022-07-06,1.02681,1.02765,1.01618,1.01813,99216,0
2022-07-07,1.01808,1.0221,1.01442,1.01614,82592,0
2022-07-08,1.01632,1.01915,1.00719,1.01854,89370,0
2022-07-11,1.01788,1.0185,1.00338,1.00407,85258,0
2022-07-12,1.004,1.00738,1.0,1.0036,96807,0
2022-07-13,1.00378,1.01217,0.9998,1.00576,104420,0
2022-07-14,1.00604,1.00604,0.99522,1.00208,107038,0
2022-07-15,1.00129,1.00979,1.00068,1.00875,85034,0
2022-07-18,1.00815,1.02013,1.00786,1.01439,75726,0
2022-07-19,1.01409,1.02694,1.01197,1.02229,83025,0
2022-07-20,1.02233,1.02732,1.01555,1.01819,75934,0
2022-07-21,1.01757,1.0278,1.01535,1.02279,90201,0
2022-07-22,1.02287,1.02555,1.01298,1.02143,83352,0
2022-07-25,1.02091,1.02578,1.01791,1.02183,78900,0
2022-07-26,1.02202,1.025,1.01075,1.01177,71866,0
2022-07-27,1.01147,1.02207,1.00967,1.01989,77940,0
2022-07-28,1.01997,1.02343,1.01141,1.01967,93603,0
2022-07-29,1.01972,1.02541,1.01461,1.02265,88464,0
2022-08-01,1.02134,1.02753,1.02055,1.02605,80317,0
2022-08-02,1.02586,1.02939,1.01635,1.0166,98515,0
2022-08-03,1.01652,1.02098,1.01229,1.01687,85949,0
2022-08-04,1.01632,1.02539,1.01546,1.02454,78798,0
2022-08-05,1.0245,1.02523,1.01417,1.01781,75394,0
2022-08-08,1.01742,1.0222,1.01593,1.0193699999999999,64542,0
2022-08-09,1.01946,1.02475,1.01887,1.02132,53941,0
2022-08-10,1.02124,1.03686,1.02022,1.02978,72874,0
2022-08-11,1.02994,1.03644,1.02755,1.03197,75418,0
2022-08-12,1.03174,1.03276,1.02383,1.02589,64137,0
2022-08-15,1.02547,1.02683,1.01546,1.01592,60426,0
2022-08-16,1.016,1.01947,1.01225,1.01705,68089,0
2022-08-17,1.01705,1.02028,1.01455,1.01774,80174,0
2022-08-18,1.01794,1.01931,1.00796,1.00866,74681,0
2022-08-19,1.00822,1.00955,1.00319,1.0041,67153,0
2022-08-22,1.00363,1.00466,0.99263,0.99422,71631,0
2022-08-23,0.99429,1.00182,0.99004,0.99677,84075,0
2022-08-24,0.99692,0.9999,0.99102,0.99679,71726,0
2022-08-25,0.99645,1.00336,0.99491,0.99742,73308,0
2022-08-26,0.9974,1.00899,0.99468,0.9965,78640,0
2022-08-29,0.99644,1.00291,0.99141,0.99977,81731,0
2022-08-30,0.99931,1.00549,0.9982,1.00152,88347,0
2022-08-31,1.00135,1.00791,0.99712,1.00524,84356,0
2022-09-01,1.00517,1.0054400000000001,0.9911,0.9945,84698,0
2022-09-02,0.99443,1.00336,0.99409,0.99564,82304,0
2022-09-05,0.99208,0.9944,0.98781,0.99314,64341,0
2022-09-06,0.99226,0.99863,0.9864,0.99066,92375,0
2022-09-07,0.99036,1.00108,0.98757,1.00063,83951,0
2022-09-08,1.00074,1.00299,0.99308,0.99984,92217,0
2022-09-09,0.99948,1.01133,0.99929,1.00406,82108,0
2022-09-12,1.01042,1.01978,1.006,1.01218,82761,0
2022-09-13,1.01223,1.01872,0.9967,0.99672,84739,0
