time,open,high,low,close
2025-04-16 09:00:00,1.13809,1.13827,1.13606,1.13607
2025-04-16 10:00:00,1.13607,1.13921,1.13593,1.13871
2025-04-16 11:00:00,1.13871,1.13882,1.13384,1.13696
2025-04-16 12:00:00,1.13697,1.13777,1.1356,1.13601
2025-04-16 13:00:00,1.13601,1.13741,1.13523,1.13582
2025-04-16 14:00:00,1.13578,1.13739,1.1354899999999999,1.13632
2025-04-16 15:00:00,1.13632,1.13655,1.13408,1.13519
2025-04-16 16:00:00,1.13516,1.13739,1.13498,1.13669
2025-04-16 17:00:00,1.13676,1.13843,1.13541,1.13839
2025-04-16 18:00:00,1.13839,1.13866,1.13571,1.13816
2025-04-16 19:00:00,1.13816,1.13871,1.13702,1.1375
2025-04-16 20:00:00,1.13751,1.13898,1.13593,1.1375
2025-04-16 21:00:00,1.13751,1.13885,1.13651,1.13865
2025-04-16 22:00:00,1.13865,1.14128,1.13849,1.13867
2025-04-16 23:00:00,1.13866,1.13997,1.13818,1.13985
2025-04-17 00:00:00,1.13986,1.13996,1.139,1.13962
2025-04-17 01:00:00,1.13962,1.14002,1.1395,1.13996
2025-04-17 02:00:00,1.13996,1.14093,1.13941,1.13955
2025-04-17 03:00:00,1.13955,1.13968,1.1365,1.13679
2025-04-17 04:00:00,1.13679,1.13694,1.13552,1.13655
2025-04-17 05:00:00,1.13655,1.13817,1.13651,1.1378300000000001
2025-04-17 06:00:00,1.1378300000000001,1.13808,1.1364,1.13642
2025-04-17 07:00:00,1.13642,1.13699,1.13603,1.13623
2025-04-17 08:00:00,1.13623,1.13711,1.13442,1.13524
2025-04-17 09:00:00,1.13524,1.1371,1.13434,1.13589
2025-04-17 10:00:00,1.13589,1.1379,1.13531,1.13767
2025-04-17 11:00:00,1.13767,1.13886,1.13683,1.13786
2025-04-17 12:00:00,1.13786,1.13809,1.13702,1.13725
2025-04-17 13:00:00,1.13726,1.13767,1.13575,1.13596
2025-04-17 14:00:00,1.13595,1.137,1.13559,1.13565
2025-04-17 15:00:00,1.13565,1.13678,1.13353,1.13565
2025-04-17 16:00:00,1.13565,1.13776,1.13512,1.13611
2025-04-17 17:00:00,1.13611,1.13858,1.13388,1.13494
2025-04-17 18:00:00,1.13495,1.13766,1.1347800000000001,1.13633
2025-04-17 19:00:00,1.13633,1.1371,1.134,1.13507
2025-04-17 20:00:00,1.13506,1.1353900000000001,1.13411,1.13511
2025-04-17 21:00:00,1.13511,1.13754,1.13432,1.13733
2025-04-17 22:00:00,1.13733,1.1376,1.13685,1.1373199999999999
2025-04-17 23:00:00,1.1373199999999999,1.13766,1.13622,1.13634
2025-04-18 00:00:00,1.13616,1.13678,1.13586,1.13676
2025-04-18 01:00:00,1.13676,1.13695,1.1366,1.1367099999999999
2025-04-18 02:00:00,1.1367099999999999,1.13748,1.1366100000000001,1.13721
2025-04-18 03:00:00,1.13723,1.13864,1.13621,1.13742
2025-04-18 04:00:00,1.13743,1.13763,1.13677,1.13709
2025-04-18 05:00:00,1.13709,1.13787,1.13666,1.1372
2025-04-18 06:00:00,1.1372,1.13757,1.1369,1.1373
2025-04-18 07:00:00,1.1373,1.13744,1.13686,1.13693
2025-04-18 08:00:00,1.13693,1.13741,1.13632,1.13706
2025-04-18 09:00:00,1.13706,1.13765,1.13615,1.13617
2025-04-18 10:00:00,1.13617,1.13758,1.13591,1.13692
2025-04-18 11:00:00,1.13693,1.13718,1.13668,1.13707
2025-04-18 12:00:00,1.13707,1.13727,1.13669,1.13692
2025-04-18 13:00:00,1.13692,1.13745,1.13687,1.13737
2025-04-18 14:00:00,1.13737,1.13833,1.1372,1.13805
2025-04-18 15:00:00,1.13805,1.13865,1.13802,1.13819
2025-04-18 16:00:00,1.13818,1.13828,1.13773,1.13794
2025-04-18 17:00:00,1.13794,1.13975,1.1378,1.13961
2025-04-18 18:00:00,1.13963,1.1396600000000001,1.13873,1.13919
2025-04-18 19:00:00,1.13919,1.13945,1.13874,1.1394
2025-04-18 20:00:00,1.1394,1.13944,1.13897,1.13918
2025-04-18 21:00:00,1.13918,1.13951,1.13906,1.13946
2025-04-18 22:00:00,1.13946,1.13962,1.13931,1.13946
2025-04-18 23:00:00,1.13946,1.1395,1.13903,1.13929
2025-04-21 00:00:00,1.13928,1.14236,1.1385399999999999,1.14026
2025-04-21 01:00:00,1.14026,1.14381,1.13799,1.14329
2025-04-21 02:00:00,1.14329,1.14584,1.14329,1.1449
2025-04-21 03:00:00,1.14491,1.1486399999999999,1.1449,1.14662
2025-04-21 04:00:00,1.14662,1.14787,1.14651,1.14768
2025-04-21 05:00:00,1.14768,1.15313,1.1472,1.15045
2025-04-21 06:00:00,1.15045,1.1525,1.15043,1.15152
2025-04-21 07:00:00,1.15152,1.15175,1.1499,1.15175
2025-04-21 08:00:00,1.15175,1.15346,1.15149,1.15314
2025-04-21 09:00:00,1.15314,1.15347,1.15049,1.15164
2025-04-21 10:00:00,1.15154,1.15676,1.15097,1.15557
2025-04-21 11:00:00,1.15557,1.15646,1.15377,1.15583
2025-04-21 12:00:00,1.15583,1.15733,1.1545,1.15472
2025-04-21 13:00:00,1.15471,1.15486,1.15215,1.15235
2025-04-21 14:00:00,1.15235,1.15476,1.1513200000000001,1.15429
2025-04-21 15:00:00,1.15429,1.15499,1.15216,1.15425
2025-04-21 16:00:00,1.15425,1.15428,1.15015,1.1519
2025-04-21 17:00:00,1.15191,1.15248,1.14898,1.14977
2025-04-21 18:00:00,1.14977,1.15078,1.14816,1.1507100000000001
2025-04-21 19:00:00,1.1507100000000001,1.15133,1.15004,1.15093
2025-04-21 20:00:00,1.15093,1.15145,1.14936,1.15138
2025-04-21 21:00:00,1.15138,1.15253,1.15122,1.15223
2025-04-21 22:00:00,1.15223,1.1527,1.15125,1.15126
2025-04-21 23:00:00,1.15126,1.15162,1.1505,1.15129
2025-04-22 00:00:00,1.15139,1.15141,1.15064,1.15068
2025-04-22 01:00:00,1.15068,1.15252,1.15067,1.15232
2025-04-22 02:00:00,1.15232,1.15239,1.15077,1.1514
2025-04-22 03:00:00,1.1514,1.1514199999999999,1.14821,1.14904
2025-04-22 04:00:00,1.14906,1.14985,1.14857,1.14945
2025-04-22 05:00:00,1.14945,1.15207,1.1494,1.15207
2025-04-22 06:00:00,1.15205,1.1540300000000001,1.15191,1.15347
2025-04-22 07:00:00,1.15347,1.15402,1.15274,1.15303
2025-04-22 08:00:00,1.15303,1.1547399999999999,1.15184,1.15422
2025-04-22 09:00:00,1.15422,1.15459,1.14962,1.15009
2025-04-22 10:00:00,1.15009,1.15091,1.14835,1.15056
2025-04-22 11:00:00,1.15056,1.15152,1.14947,1.14999
