time,open,high,low,close
2025-04-16 09:00:00,1.32842,1.32854,1.3256999999999999,1.32625
2025-04-16 10:00:00,1.32626,1.32857,1.32617,1.3284099999999999
2025-04-16 11:00:00,1.3284099999999999,1.32912,1.32668,1.32888
2025-04-16 12:00:00,1.32888,1.32922,1.32606,1.32686
2025-04-16 13:00:00,1.32686,1.32782,1.32605,1.32645
2025-04-16 14:00:00,1.3264,1.32758,1.32583,1.3272
2025-04-16 15:00:00,1.3272,1.3272599999999999,1.32504,1.326
2025-04-16 16:00:00,1.32598,1.3271600000000001,1.32545,1.32621
2025-04-16 17:00:00,1.32623,1.32674,1.3239,1.32575
2025-04-16 18:00:00,1.32575,1.32585,1.3226499999999999,1.32449
2025-04-16 19:00:00,1.32447,1.3247200000000001,1.32305,1.32339
2025-04-16 20:00:00,1.3234,1.32378,1.3212,1.32168
2025-04-16 21:00:00,1.32169,1.32317,1.3214299999999999,1.32302
2025-04-16 22:00:00,1.32302,1.32493,1.32283,1.32376
2025-04-16 23:00:00,1.32376,1.32428,1.32306,1.32402
2025-04-17 00:00:00,1.32398,1.32434,1.3226200000000001,1.32422
2025-04-17 01:00:00,1.32422,1.32436,1.32318,1.32371
2025-04-17 02:00:00,1.32371,1.32422,1.3231600000000001,1.32325
2025-04-17 03:00:00,1.32325,1.32335,1.32111,1.3212
2025-04-17 04:00:00,1.32121,1.32169,1.32028,1.32145
2025-04-17 05:00:00,1.32145,1.32298,1.32142,1.3225500000000001
2025-04-17 06:00:00,1.3225500000000001,1.32291,1.3213599999999999,1.32138
2025-04-17 07:00:00,1.32138,1.32154,1.32093,1.32098
2025-04-17 08:00:00,1.32098,1.32209,1.32046,1.32098
2025-04-17 09:00:00,1.32098,1.32332,1.32037,1.32276
2025-04-17 10:00:00,1.32276,1.32455,1.32233,1.32426
2025-04-17 11:00:00,1.32426,1.3247900000000001,1.32355,1.32395
2025-04-17 12:00:00,1.32395,1.32462,1.32386,1.32409
2025-04-17 13:00:00,1.32409,1.32457,1.32216,1.3223799999999999
2025-04-17 14:00:00,1.3223799999999999,1.32367,1.32198,1.32272
2025-04-17 15:00:00,1.32272,1.32503,1.32187,1.32496
2025-04-17 16:00:00,1.32495,1.32599,1.32444,1.32571
2025-04-17 17:00:00,1.32571,1.32732,1.32275,1.32329
2025-04-17 18:00:00,1.32329,1.32592,1.32288,1.32574
2025-04-17 19:00:00,1.32574,1.32687,1.32508,1.32579
2025-04-17 20:00:00,1.3258,1.32587,1.32469,1.32572
2025-04-17 21:00:00,1.32572,1.32728,1.32504,1.32695
2025-04-17 22:00:00,1.32695,1.32696,1.32618,1.32664
2025-04-17 23:00:00,1.3266200000000001,1.32708,1.32638,1.32678
2025-04-18 00:00:00,1.32648,1.32657,1.3245,1.32589
2025-04-18 01:00:00,1.32589,1.3269199999999999,1.32552,1.32611
2025-04-18 02:00:00,1.32611,1.32684,1.32587,1.32675
2025-04-18 03:00:00,1.32675,1.32832,1.32674,1.32808
2025-04-18 04:00:00,1.32806,1.32833,1.3268900000000001,1.32698
2025-04-18 05:00:00,1.32699,1.32766,1.32654,1.3272300000000001
2025-04-18 06:00:00,1.3272300000000001,1.3275299999999999,1.32639,1.3269
2025-04-18 07:00:00,1.3269,1.32702,1.32663,1.32682
2025-04-18 08:00:00,1.3268499999999999,1.32737,1.32666,1.32686
2025-04-18 09:00:00,1.32684,1.3271899999999999,1.32649,1.32687
2025-04-18 10:00:00,1.32686,1.32793,1.32646,1.32657
2025-04-18 11:00:00,1.32657,1.32733,1.32578,1.3273
2025-04-18 12:00:00,1.32722,1.32732,1.32678,1.32707
2025-04-18 13:00:00,1.32706,1.3275299999999999,1.32656,1.3275299999999999
2025-04-18 14:00:00,1.32751,1.32793,1.32713,1.32747
2025-04-18 15:00:00,1.32747,1.32803,1.3271,1.32762
2025-04-18 16:00:00,1.32758,1.3277999999999999,1.3271600000000001,1.32744
2025-04-18 17:00:00,1.32745,1.32855,1.3274,1.32829
2025-04-18 18:00:00,1.3283,1.32831,1.32711,1.32768
