feature,importance
partial_close_count,0.10504747498067887
had_partial_close,0.10345130952258223
partial_profit_contribution,0.09710922274025652
risk_percent,0.04001944510890229
plus_di,0.032762689080800794
margin_level_pct,0.03217594576033705
trend_strength,0.030716154198101447
vwap_distance_pct,0.03052344263283941
account_drawdown,0.030422589307567898
confluence_score,0.02603009261446475
distance_from_low_pct,0.023384927923340605
daily_volume_used,0.022194998073574845
week_of_year,0.020912447745745678
minus_di,0.020842283109555847
open_position_count,0.020447276724454434
trades_today,0.020220349163290678
recent_range_pips,0.01943160597977994
momentum_20_pct,0.01840651389998829
position_vs_avg,0.017499395722010532
distance_from_high_pct,0.017240808692971468
adx,0.017042095831417123
di_spread,0.015409138487892146
atr_14,0.01513373086172459
hour,0.013605631604728946
atr_percentile,0.012124721845659374
spread_vs_avg_pct,0.012065609362239804
trades_last_hour,0.010988929557496474
day_of_month,0.01063618150725991
htf_total_score,0.010190073597564958
at_swing_high,0.00852153174542199
minutes_since_last_trade,0.008221347922654205
spread_percentile,0.007785739767283278
win_streak,0.006422697081765297
day_of_week,0.0064211209053071094
spread_pips,0.006363964939641433
at_swing_low,0.005801853905331656
at_prev_week_low,0.005315931153068617
direction_buy,0.005234394611743578
vwap_above,0.005230295796788868
total_recovery_volume,0.004804915782671087
at_prev_day_poc,0.004270864305151706
signal_conviction,0.004215050318561903
session_london,0.004199133394436029
regime_strong,0.004188674081715461
session_tokyo,0.0035643545635766906
at_daily_bullish_fvg,0.003229298184802454
vwap_below,0.003182855965825485
hedge_count,0.003175397448906647
dca_count,0.003135000894127271
at_daily_bearish_fvg,0.0030836874258727844
vwap_band_score,0.003005021421695949
at_weekly_hvn,0.00297248602061927
direction_sell,0.0024706578662187055
is_session_open,0.0023828247442967943
had_dca,0.0022451245800959507
at_prev_week_high,0.0021951002463648016
had_hedge,0.0021948731218829885
at_prev_day_vah,0.001922110326114363
session_ny,0.0018691723887836647
vwap_band_1,0.0018185758050651107
at_weekly_bullish_fvg,0.0016809881688909065
below_val,0.0016808287173566408
is_session_close,0.001667178723842841
at_prev_day_low,0.001654766658493475
at_prev_day_high,0.0016288213472015753
at_weekly_bearish_fvg,0.0016151382137520398
is_overlap,0.0014722739875320612
at_daily_hvn,0.0014654617220557437
at_prev_day_val,0.001436288428686969
trend_bullish,0.0014198938669834182
trend_bearish,0.001251316379233933
at_poc,0.0011678413104874706
above_vah,0.0011493921369603883
vwap_band_3,0.0010526711779028789
regime_ranging,0.0009792293348399202
session_sydney,0.0008791540924413028
at_lvn,0.000839456608882247
vwap_band_2,0.0007438311504385221
weekly_hvn_count,0.00041308582047698073
regime_trending,0.00023569330022270567
had_grid,8.754650029995793e-05
slippage_pips,0.0
vwap_at,0.0
grid_count,0.0
htf_factors_count,0.0
htf_aligned,0.0
distance_to_swing_pct,0.0
recovery_cost,0.0
