time,open,high,low,close,tick_volume,spread,real_volume
2018-01-02 00:00:00,1.35059,1.35219,1.34906,1.35133,16596,0,0
2018-01-02 04:00:00,1.35133,1.3523399999999999,1.3508200000000001,1.35226,13373,0,0
2018-01-02 08:00:00,1.35225,1.35664,1.35176,1.3548499999999999,38685,0,0
2018-01-02 12:00:00,1.3548499999999999,1.35679,1.35396,1.3557299999999999,40533,0,0
2018-01-02 16:00:00,1.35572,1.3600400000000001,1.35423,1.3584100000000001,45659,0,0
2018-01-02 20:00:00,1.3584,1.36002,1.35815,1.35933,17608,0,0
2018-01-03 00:00:00,1.35868,1.36055,1.35852,1.3602699999999999,14106,0,0
2018-01-03 04:00:00,1.3602699999999999,1.36075,1.35886,1.36057,12774,0,0
2018-01-03 08:00:00,1.36057,1.36127,1.35822,1.35856,35895,0,0
2018-01-03 12:00:00,1.35856,1.35927,1.35541,1.35617,36769,0,0
2018-01-03 16:00:00,1.35617,1.35621,1.34937,1.3526099999999999,39115,0,0
2018-01-03 20:00:00,1.35259,1.35262,1.35028,1.3517000000000001,23258,0,0
2018-01-04 00:00:00,1.35095,1.35158,1.35055,1.35113,13118,0,0
2018-01-04 04:00:00,1.35114,1.35232,1.3511199999999999,1.35161,15106,0,0
2018-01-04 08:00:00,1.35163,1.35504,1.35155,1.35445,32747,0,0
2018-01-04 12:00:00,1.3544399999999999,1.35598,1.3532899999999999,1.35342,37680,0,0
2018-01-04 16:00:00,1.35343,1.35585,1.35311,1.35464,41554,0,0
2018-01-04 20:00:00,1.35464,1.35561,1.35375,1.35514,17170,0,0
2018-01-05 00:00:00,1.35468,1.3566799999999999,1.354,1.35561,12866,0,0
2018-01-05 04:00:00,1.35562,1.35734,1.35553,1.35701,13558,0,0
2018-01-05 08:00:00,1.35702,1.35772,1.35232,1.35302,33524,0,0
2018-01-05 12:00:00,1.35302,1.35823,1.35266,1.35655,39931,0,0
2018-01-05 16:00:00,1.3565800000000001,1.35701,1.3543,1.3564,48569,0,0
2018-01-05 20:00:00,1.3564,1.3572899999999999,1.35608,1.3565800000000001,14531,0,0
2018-01-08 00:00:00,1.35519,1.35855,1.35518,1.35791,11947,0,0
2018-01-08 04:00:00,1.3578999999999999,1.35839,1.35522,1.35561,14903,0,0
2018-01-08 08:00:00,1.3556,1.35591,1.35253,1.35277,25840,0,0
2018-01-08 12:00:00,1.35277,1.35545,1.35228,1.35427,34539,0,0
2018-01-08 16:00:00,1.35427,1.3585,1.354,1.3559,35412,0,0
2018-01-08 20:00:00,1.35591,1.3568500000000001,1.35574,1.3567,14185,0,0
2018-01-09 00:00:00,1.35648,1.35723,1.35564,1.35704,12538,0,0
2018-01-09 04:00:00,1.35703,1.35823,1.35701,1.35747,14133,0,0
2018-01-09 08:00:00,1.35748,1.35758,1.35138,1.35301,38100,0,0
2018-01-09 12:00:00,1.35298,1.35418,1.35113,1.35167,28869,0,0
2018-01-09 16:00:00,1.35167,1.35328,1.35059,1.3526799999999999,36438,0,0
2018-01-09 20:00:00,1.35267,1.3541699999999999,1.3520699999999999,1.35396,16695,0,0
2018-01-10 00:00:00,1.35397,1.3542,1.3526,1.35359,16136,0,0
2018-01-10 04:00:00,1.35359,1.35384,1.35168,1.35186,13751,0,0
2018-01-10 08:00:00,1.35186,1.35316,1.34931,1.3498,40512,0,0
2018-01-10 12:00:00,1.34981,1.35621,1.34817,1.35257,68170,0,0
2018-01-10 16:00:00,1.35257,1.35401,1.3504800000000001,1.35167,47974,0,0
2018-01-10 20:00:00,1.35168,1.35214,1.35041,1.35072,28851,0,0
2018-01-11 00:00:00,1.35029,1.35167,1.35004,1.35126,18348,0,0
2018-01-11 04:00:00,1.35125,1.35162,1.34851,1.35001,23946,0,0
2018-01-11 08:00:00,1.35,1.35002,1.34733,1.3487,36030,0,0
2018-01-11 12:00:00,1.3487,1.35254,1.3458,1.35246,61000,0,0
2018-01-11 16:00:00,1.35246,1.35549,1.35225,1.35447,44298,0,0
2018-01-11 20:00:00,1.35446,1.3551199999999999,1.3529200000000001,1.35398,20916,0,0
2018-01-12 00:00:00,1.3532,1.35646,1.3532,1.35467,19525,0,0
2018-01-12 04:00:00,1.35467,1.3551199999999999,1.35399,1.35429,16839,0,0
2018-01-12 08:00:00,1.35429,1.36209,1.35375,1.36121,54770,0,0
2018-01-12 12:00:00,1.3612199999999999,1.36929,1.36087,1.36568,56625,0,0
2018-01-12 16:00:00,1.36568,1.37001,1.36448,1.36914,62278,0,0
2018-01-12 20:00:00,1.3691499999999999,1.3744399999999999,1.36904,1.37305,35037,0,0
2018-01-15 00:00:00,1.3725,1.3749500000000001,1.37237,1.37415,23762,0,0
2018-01-15 04:00:00,1.37415,1.3755600000000001,1.37314,1.37474,28644,0,0
2018-01-15 08:00:00,1.37473,1.38087,1.37313,1.37912,42690,0,0
2018-01-15 12:00:00,1.37911,1.38199,1.37653,1.37982,43123,0,0
2018-01-15 16:00:00,1.37982,1.38172,1.3779,1.38107,37613,0,0
2018-01-15 20:00:00,1.38107,1.38135,1.37909,1.3795600000000001,16324,0,0
2018-01-16 00:00:00,1.37865,1.38041,1.37836,1.37995,16305,0,0
2018-01-16 04:00:00,1.37995,1.38058,1.37827,1.37882,18646,0,0
2018-01-16 08:00:00,1.37882,1.38029,1.3755600000000001,1.37653,55876,0,0
2018-01-16 12:00:00,1.37653,1.37672,1.37419,1.37643,41359,0,0
2018-01-16 16:00:00,1.37643,1.37793,1.37496,1.3772,44040,0,0
2018-01-16 20:00:00,1.37721,1.37995,1.37714,1.37908,24387,0,0
2018-01-17 00:00:00,1.37913,1.38365,1.3786399999999999,1.38161,28539,0,0
2018-01-17 04:00:00,1.3816,1.3820000000000001,1.37691,1.37755,27551,0,0
2018-01-17 08:00:00,1.37755,1.37953,1.37568,1.37942,49280,0,0
2018-01-17 12:00:00,1.37942,1.38072,1.37761,1.3793,44906,0,0
2018-01-17 16:00:00,1.37931,1.38499,1.379,1.38498,57993,0,0
2018-01-17 20:00:00,1.38498,1.39426,1.38215,1.38275,52495,0,0
2018-01-18 00:00:00,1.38269,1.38391,1.38058,1.38184,28655,0,0
2018-01-18 04:00:00,1.38183,1.3834,1.3805399999999999,1.38336,27726,0,0
2018-01-18 08:00:00,1.38336,1.38477,1.38049,1.38428,43433,0,0
2018-01-18 12:00:00,1.38429,1.38909,1.3829500000000001,1.38632,44349,0,0
2018-01-18 16:00:00,1.38631,1.39132,1.38608,1.38772,60312,0,0
2018-01-18 20:00:00,1.3877,1.38998,1.38647,1.38933,29228,0,0
2018-01-19 00:00:00,1.38918,1.39056,1.38856,1.3896600000000001,22594,0,0
2018-01-19 04:00:00,1.38967,1.39242,1.3891499999999999,1.3906800000000001,26959,0,0
2018-01-19 08:00:00,1.39071,1.39452,1.3892,1.39143,54567,0,0
2018-01-19 12:00:00,1.39142,1.39196,1.38517,1.38594,54196,0,0
2018-01-19 16:00:00,1.38594,1.38828,1.38384,1.38595,52529,0,0
2018-01-19 20:00:00,1.38594,1.38812,1.38432,1.38477,28049,0,0
2018-01-22 00:00:00,1.3886,1.38958,1.3857,1.38622,26593,0,0
2018-01-22 04:00:00,1.38622,1.3875,1.38575,1.38667,27579,0,0
2018-01-22 08:00:00,1.38669,1.39113,1.38575,1.3897599999999999,42837,0,0
2018-01-22 12:00:00,1.38975,1.39279,1.3885100000000001,1.39228,34529,0,0
2018-01-22 16:00:00,1.39227,1.3970500000000001,1.39145,1.39578,46862,0,0
2018-01-22 20:00:00,1.3958,1.39906,1.39493,1.39877,21780,0,0
2018-01-23 00:00:00,1.3983400000000001,1.40032,1.3976199999999999,1.39934,19077,0,0
2018-01-23 04:00:00,1.39932,1.39963,1.39722,1.39798,28014,0,0
2018-01-23 08:00:00,1.39798,1.39948,1.3939,1.3947,50690,0,0
